TELEVISION ON
TELEVISION OFF
TELEVISION MUTE
TELEVISION UNMUTE
TELEVISION CHANNEL UP
TELEVISION CHANNEL UP ONE
TELEVISION CHANNEL UP TWO
TELEVISION CHANNEL UP THREE
TELEVISION CHANNEL UP FOUR
TELEVISION CHANNEL UP FIVE
TELEVISION CHANNEL UP SIX
TELEVISION CHANNEL UP SEVEN
TELEVISION CHANNEL UP EIGHT
TELEVISION CHANNEL UP NINE
TELEVISION CHANNEL UP TEN
TELEVISION CHANNEL UP ELEVEN
TELEVISION CHANNEL UP TWELVE
TELEVISION CHANNEL UP THIRTEEN
TELEVISION CHANNEL UP FOURTEEN
TELEVISION CHANNEL UP FIFTEEN
TELEVISION CHANNEL UP SIXTEEN
TELEVISION CHANNEL UP SEVENTEEN
TELEVISION CHANNEL UP EIGHTEEN
TELEVISION CHANNEL UP NINETEEN
TELEVISION CHANNEL UP TWENTY
TELEVISION CHANNEL DOWN
TELEVISION CHANNEL DOWN ONE
TELEVISION CHANNEL DOWN TWO
TELEVISION CHANNEL DOWN THREE
TELEVISION CHANNEL DOWN FOUR
TELEVISION CHANNEL DOWN FIVE
TELEVISION CHANNEL DOWN SIX
TELEVISION CHANNEL DOWN SEVEN
TELEVISION CHANNEL DOWN EIGHT
TELEVISION CHANNEL DOWN NINE
TELEVISION CHANNEL DOWN TEN
TELEVISION CHANNEL DOWN ELEVEN
TELEVISION CHANNEL DOWN TWELVE
TELEVISION CHANNEL DOWN THIRTEEN
TELEVISION CHANNEL DOWN FOURTEEN
TELEVISION CHANNEL DOWN FIFTEEN
TELEVISION CHANNEL DOWN SIXTEEN
TELEVISION CHANNEL DOWN SEVENTEEN
TELEVISION CHANNEL DOWN EIGHTEEN
TELEVISION CHANNEL DOWN NINETEEN
TELEVISION CHANNEL DOWN TWENTY
TELEVISION VOLUME UP
TELEVISION VOLUME UP ONE
TELEVISION VOLUME UP TWO
TELEVISION VOLUME UP THREE
TELEVISION VOLUME UP FOUR
TELEVISION VOLUME UP FIVE
TELEVISION VOLUME UP SIX
TELEVISION VOLUME UP SEVEN
TELEVISION VOLUME UP EIGHT
TELEVISION VOLUME UP NINE
TELEVISION VOLUME UP TEN
TELEVISION VOLUME UP ELEVEN
TELEVISION VOLUME UP TWELVE
TELEVISION VOLUME UP THIRTEEN
TELEVISION VOLUME UP FOURTEEN
TELEVISION VOLUME UP FIFTEEN
TELEVISION VOLUME UP SIXTEEN
TELEVISION VOLUME UP SEVENTEEN
TELEVISION VOLUME UP EIGHTEEN
TELEVISION VOLUME UP NINETEEN
TELEVISION VOLUME UP TWENTY
TELEVISION VOLUME DOWN
TELEVISION VOLUME DOWN ONE
TELEVISION VOLUME DOWN TWO
TELEVISION VOLUME DOWN THREE
TELEVISION VOLUME DOWN FOUR
TELEVISION VOLUME DOWN FIVE
TELEVISION VOLUME DOWN SIX
TELEVISION VOLUME DOWN SEVEN
TELEVISION VOLUME DOWN EIGHT
TELEVISION VOLUME DOWN NINE
TELEVISION VOLUME DOWN TEN
TELEVISION VOLUME DOWN ELEVEN
TELEVISION VOLUME DOWN TWELVE
TELEVISION VOLUME DOWN THIRTEEN
TELEVISION VOLUME DOWN FOURTEEN
TELEVISION VOLUME DOWN FIFTEEN
TELEVISION VOLUME DOWN SIXTEEN
TELEVISION VOLUME DOWN SEVENTEEN
TELEVISION VOLUME DOWN EIGHTEEN
TELEVISION VOLUME DOWN NINETEEN
TELEVISION VOLUME DOWN TWENTY
T_V ON
T_V OFF
T_V MUTE
T_V UNMUTE
T_V CHANNEL UP
T_V CHANNEL UP ONE
T_V CHANNEL UP TWO
T_V CHANNEL UP THREE
T_V CHANNEL UP FOUR
T_V CHANNEL UP FIVE
T_V CHANNEL UP SIX
T_V CHANNEL UP SEVEN
T_V CHANNEL UP EIGHT
